English,Malayalam
have i got any new emails,എനിക്ക് ഏതെങ്കിലും പുതിയ ഈമെയിലുകള്‍ ലഭിച്ചിട്ടുണ്ടോ
what are the news stories on the c. n. n. website,സി. എൻ. എൻ. വെബ്സൈറ്റിലെ വാർത്തകൾ എന്തൊക്കെയാണ്
make lights brightener,വിളക്കുകൾ കൂടുതൽ പ്രകാശപൂരിതം ആക്കുക
tell me about the latest media trends,ഏറ്റവും പുതിയ മാധ്യമ പ്രവണതകളെക്കുറിച്ച് എന്നോട് പറയുക
i will need my filter coffee in ten minutes please ask the coffee maker accordingly,എനിക്ക് പത്ത് മിനിറ്റിനുള്ളിൽ എൻ്റെ ഫിൽറ്റർ കോഫി ആവശ്യമായി വരും അതിനനുസരിച്ച് കോഫി മേക്കറോട് ചോദിക്കുക
please tell me where i can get a drink nearby after midnight,അർദ്ധരാത്രിക്ക് ശേഷം എനിക്ക് അടുത്ത് എവിടെ നിന്ന് കുടിക്കാൻ കഴിയുമെന്ന് ദയവായി എന്നോട് പറയൂ
how's the restaurant's delivery going,ഭക്ഷണശാലയുടെ ഡെലിവറി എങ്ങനെ പോകുന്നു
how would you tackle the following problem brush your teeth,താഴെപ്പറയുന്ന പ്രശ്നം എങ്ങനെ പരിഹരിക്കും പല്ല് തേക്കുക
can you make a red shade of light in the living room,സ്വീകരണമുറിയിലെ ലൈറ്റിൻ്റെ ചുവന്ന ഷേഡ് ആക്കുക
turn off garage light,ഗ്യാരേജിലെ ലൈറ്റ് ഓഫ് ചെയ്യുക
play sirius on satellite radio,ഉപഗ്രഹ റേഡിയോയിൽ sirius പ്ലേ ചെയ്യുക
play mp playlist from start,എംജി ശ്രീകുമാർ ഹിറ്റ്സ് ആദ്യം മുതൽ വെക്കുക
have my iroomba clean the house,ഇരൂമ്പ എന്റെ വീട് വൃത്തിയാക്കിയോ
on the plug,പ്ലഗ് ഓണാക്കുക
off all type of active devices,പ്രവർത്തിക്കുന്ന എല്ലാ ഉപകരണങ്ങൾ ഓഫാക്കുക
call peking garden,ശരവണ ഭവൻ എന്ന് വിളിക്കുക
what kind of music am i into,ഞാൻ ഏതുതരം സംഗീതത്തിലാണ്
do you have the train times for beaumont tx,നിങ്ങൾക്ക് പഞ്ചാബിൻ്റെ തീവണ്ടി സമയമുണ്ടോ
what is the definition of the word snafu,സ്നാഫു എന്ന വാക്കിന്റെ നിർവചനം എന്താണ്
send me alert on any new topic on politics,രാഷ്ട്രീയവുമായി ബന്ധപ്പെട്ട ഏത് പുതിയ വിഷയത്തിലും എനിക്ക് മുന്നറിയിപ്പ് അയയ്ക്കുക
i said,ഞാൻ പറഞ്ഞു
please delete this event,ദയവായി ഈ ഇവൻ്റ് ഇല്ലാതാക്കുക
meeting update my calendar to reflect meeting,മീറ്റിംഗ് പ്രതിഫലിപ്പിക്കുന്നതിന് മീറ്റിംഗ് എന്റെ കലണ്ടർ അപ്ഡേറ്റ് ചെയ്യുക
olly what's the current weather,ഒല്ലി നിലവിലെ കാലാവസ്ഥ എന്താണ്
any interesting happenings in the world,ലോകത്തിലെ ഏതെങ്കിലും രസകരമായ സംഭവങ്ങൾ
make happy birthday the next song,അടുത്ത പാട്ട് ആത്മാവിൽ പുസ്തകതാളില്‍ വയ്ക്കുക
play podcast favorites,പോഡ്‌കാസ്റ്റ് പ്രിയപ്പെട്ടവ പ്ലേ ചെയ്യുക
i want to read yahoo news,എനിക്ക് യാഹൂ വാർത്ത വായിക്കണം
email to matthew with content project finished send me invoice please,ഉള്ളടക്ക പ്രോജക്‌റ്റ് പൂർത്തിയായി മഹാദേവന് ഇമെയിൽ ചെയ്യുക ദയവായി എനിക്ക് ഇൻവോയ്‌സ് അയയ്‌ക്കുക
date with love the next day,അടുത്ത ദിവസം സ്നേഹത്തോടെ ഡേറ്റ് ചെയ്യുക
play song over the rainbow,അനുരാഗത്തില്‍ വേളയില്‍ പാട്ട് പ്ലേ ചെയ്യുക
is chase doing good,മഹീന്ദ്രയുടെ ഓഹരി എങ്ങനെ ഉണ്ട്
what's the closing price of apple,ഇൻഫോസിസിന്റെ ക്ലോസിംഗ് വില എത്രയാണ്
are there any events happening in town,പട്ടണം ത്തില്‍ നടക്കുന്ന പരിപാടികള്‍ ഏതൊക്കെയാണ്
play kids songs,കുട്ടികളുടെ പാട്ടുകൾ പ്ലേ ചെയ്യുക
it's time for junk food,ജങ്ക് ഫുഡിന്റെ സമയമാണിത്
find contact,കോൺടാക്റ്റ് കണ്ടെത്തുക
show me the dim color,മങ്ങിയ നിറം കാണിക്കൂ
on friday please put dentist appointment at three,വെള്ളിയാഴ്ച ദന്തഡോക്ടറുടെ അപ്പോയിന്റ്മെന്റ് മൂന്ന് മണിക്ക് ഇടുക
the twenty second is what day,ഇരുപത് സെക്കന്‍റ് ഏത് ദിവസമാണ്
shut the lights off in my bedroom please,ദയവായി എൻ്റെ കിടപ്പുമുറിയിലെ ലൈറ്റുകൾ കൂടുതൽ അണയ്ക്കുക
start the radio olly,റേഡിയോ മാംഗോ തുടങ്ങുക
will it be good to buy nike stock today,ഇന്ന് ഇൻഫോസിസ് സ്റ്റോക്ക് വാങ്ങുന്നത് നല്ലതാണോ
what is the weather like in new york,തിരുവനന്തപുരത്തെ കാലാവസ്ഥ എന്താണ്
today's events,ഇന്നത്തെ സംഭവങ്ങൾ
send a text to alice,ആലീസിന് ഒരു വാചകം അയയ്ക്കുക
can anyone tell me what's you guys discussing,നിങ്ങൾ എന്താണ് ചർച്ച ചെയ്യുന്നതെന്ന് ആരെങ്കിലും എന്നോട് പറയുമോ
olly clean the flat,ഓലി ഫ്ലാറ്റ് വൃത്തിയാക്കുക
i would like to order takeaway,എടുത്തുകൊണ്ടുപോകുക ഓർഡർ ചെയ്യാൻ ഞാൻ ആഗ്രഹിക്കുന്നു
find the nearest olive garden that has take out service,പാഴ്സൽ സേവനം നടത്തുന്ന ഏറ്റവും അടുത്തുള്ള ബുഹാരി ഹോട്ടൽ കണ്ടെത്തുക
prepare my morning coffee,എന്റെ രാവിലത്തെ കാപ്പി തയ്യാറാക്കുക
turn the living room lights to one percent,സ്വീകരണമുറിയിലെ വിളക്കുകൾ ഒരു ശതമാനത്തിലേക്ക് മാറ്റുക
light color change,ലൈറ്റിൻ്റെ നിറം മാറ്റുക
please play jennifer lopez album,ദയവായി ശ്രേയ ഘോഷാലിൻ്റെ ആൽബം പ്ലേ ചെയ്യൂ
give me the birth details of abraham lincoln,രാജേന്ദ്ര പ്രസാദിന്റെ ജനന വിവരങ്ങൾ തരൂ
what is the size of the united states,യുണൈറ്റഡ് സ്റ്റേറ്റ്സിന്റെ വലിപ്പം എന്താണ്
what will the date be next wednesday,അടുത്ത ബുധനാഴ്ച എന്തായിരിക്കും
make my calendar empty,എൻ്റെ കലണ്ടർ ശൂന്യമാക്കുക
what is the purpose of using you instead of searching on my own,സ്വന്തമായി തിരയുന്നതിന് പകരം നിങ്ങളെ ഉപയോഗിക്കുന്നതിൻ്റെ ഉദ്ദേശം എന്താണ്
find out what song this is and tell me the name,ഇത് ഏത് പാട്ടാണെന്ന് കണ്ടെത്തി പേര് പറയൂ
delete all events for today,ഇന്നത്തെ എല്ലാ പരിപാടികളും ഇല്ലാതാക്കുക
play pdr on the am band radio,ആം ബാൻഡ് റേഡിയോയിൽ എംഫോർ ടെക് പ്ലേ ചെയ്യുക
please turn off the wemo plug,വെമോ പ്ളഗ് ഓഫാക്കുക
tag you're it,കണ്ണ് കെട്ടിക്കളി
please solve this math,ദയവായി ഈ കണക്ക് പരിഹരിക്കുക
whose song is this,ആരുടെ പാട്ട് ആണ് ഇത്
